 table_schema |     table_name     |     column_name      |          data_type          | is_nullable |  column_default   
 files_v2     | Grade              | id                   | text                        | NO          | 
 files_v2     | Grade              | studentId            | text                        | NO          | 
 files_v2     | Grade              | subjectId            | text                        | NO          | 
 files_v2     | Grade              | semesterId           | text                        | NO          | 
 files_v2     | Grade              | grade                | double precision            | NO          | 
 files_v2     | Grade              | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 files_v2     | Grade              | updatedAt            | timestamp without time zone | NO          | 
 files_v2     | Subject            | id                   | text                        | NO          | 
 files_v2     | Subject            | code                 | text                        | NO          | 
 files_v2     | Subject            | name                 | text                        | NO          | 
 files_v2     | Subject            | credits              | integer                     | NO          | 
 files_v2     | Subject            | department           | text                        | NO          | 
 files_v2     | Subject            | semester             | text                        | NO          | 
 files_v2     | _prisma_migrations | id                   | character varying           | NO          | 
 files_v2     | _prisma_migrations | checksum             | character varying           | NO          | 
 files_v2     | _prisma_migrations | finished_at          | timestamp with time zone    | YES         | 
 files_v2     | _prisma_migrations | migration_name       | character varying           | NO          | 
 files_v2     | _prisma_migrations | logs                 | text                        | YES         | 
 files_v2     | _prisma_migrations | rolled_back_at       | timestamp with time zone    | YES         | 
 files_v2     | _prisma_migrations | started_at           | timestamp with time zone    | NO          | now()
 files_v2     | _prisma_migrations | applied_steps_count  | integer                     | NO          | 0
 outpass_v2   | AuthCredential     | id                   | text                        | NO          | 
 outpass_v2   | AuthCredential     | username             | text                        | NO          | 
 outpass_v2   | AuthCredential     | passwordHash         | text                        | NO          | 
 outpass_v2   | AuthCredential     | role                 | text                        | NO          | 'student'::text
 outpass_v2   | AuthCredential     | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 outpass_v2   | AuthCredential     | updatedAt            | timestamp without time zone | NO          | 
 outpass_v2   | AuthCredential     | isDisabled           | boolean                     | NO          | false
 outpass_v2   | Grievance          | id                   | text                        | NO          | 
 outpass_v2   | Grievance          | studentId            | text                        | YES         | 
 outpass_v2   | Grievance          | studentEmail         | text                        | YES         | 
 outpass_v2   | Grievance          | category             | text                        | NO          | 
 outpass_v2   | Grievance          | description          | text                        | NO          | 
 outpass_v2   | Grievance          | isAnonymous          | boolean                     | NO          | false
 outpass_v2   | Grievance          | status               | text                        | NO          | 'pending'::text
 outpass_v2   | Grievance          | resolvedBy           | text                        | YES         | 
 outpass_v2   | Grievance          | resolution           | text                        | YES         | 
 outpass_v2   | Grievance          | resolvedAt           | timestamp without time zone | YES         | 
 outpass_v2   | Grievance          | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 outpass_v2   | Outing             | id                   | text                        | NO          | 
 outpass_v2   | Outing             | studentId            | text                        | NO          | 
 outpass_v2   | Outing             | studentGender        | text                        | NO          | 'M'::text
 outpass_v2   | Outing             | reason               | text                        | NO          | 
 outpass_v2   | Outing             | fromTime             | timestamp without time zone | NO          | 
 outpass_v2   | Outing             | toTime               | timestamp without time zone | NO          | 
 outpass_v2   | Outing             | hours                | integer                     | NO          | 0
 outpass_v2   | Outing             | requestedTime        | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 outpass_v2   | Outing             | isExpired            | boolean                     | NO          | false
 outpass_v2   | Outing             | isApproved           | boolean                     | NO          | false
 outpass_v2   | Outing             | isRejected           | boolean                     | NO          | false
 outpass_v2   | Outing             | issuedBy             | text                        | NO          | 'none'::text
 outpass_v2   | Outing             | issuedTime           | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 outpass_v2   | Outing             | message              | text                        | YES         | 
 outpass_v2   | Outing             | rejectedBy           | text                        | NO          | 'none'::text
 outpass_v2   | Outing             | rejectedTime         | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 outpass_v2   | Outing             | checkedOutTime       | timestamp without time zone | YES         | 
 outpass_v2   | Outing             | checkedInTime        | timestamp without time zone | YES         | 
 outpass_v2   | Outing             | currentLevel         | text                        | NO          | 'caretaker'::text
 outpass_v2   | Outing             | approvalLogs         | jsonb                       | YES         | 
 outpass_v2   | Outpass            | id                   | text                        | NO          | 
 outpass_v2   | Outpass            | studentId            | text                        | NO          | 
 outpass_v2   | Outpass            | studentGender        | text                        | NO          | 'M'::text
 outpass_v2   | Outpass            | reason               | text                        | NO          | 
 outpass_v2   | Outpass            | fromDay              | timestamp without time zone | NO          | 
 outpass_v2   | Outpass            | toDay                | timestamp without time zone | NO          | 
 outpass_v2   | Outpass            | days                 | integer                     | NO          | 0
 outpass_v2   | Outpass            | requestedTime        | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 outpass_v2   | Outpass            | isExpired            | boolean                     | NO          | false
 outpass_v2   | Outpass            | isApproved           | boolean                     | NO          | false
 outpass_v2   | Outpass            | isRejected           | boolean                     | NO          | false
