 Schema: outpass_v2 | Table: Outing | Column: toTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outing | Column: hours | Type: integer
 Schema: outpass_v2 | Table: Outing | Column: requestedTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outing | Column: isExpired | Type: boolean
 Schema: outpass_v2 | Table: Outing | Column: isApproved | Type: boolean
 Schema: outpass_v2 | Table: Outing | Column: isRejected | Type: boolean
 Schema: outpass_v2 | Table: Outing | Column: issuedBy | Type: text
 Schema: outpass_v2 | Table: Outing | Column: issuedTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outing | Column: message | Type: text
 Schema: outpass_v2 | Table: Outing | Column: rejectedBy | Type: text
 Schema: outpass_v2 | Table: Outing | Column: rejectedTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outing | Column: checkedOutTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outing | Column: checkedInTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outing | Column: currentLevel | Type: text
 Schema: outpass_v2 | Table: Outing | Column: approvalLogs | Type: jsonb
 Schema: outpass_v2 | Table: Outpass | Column: id | Type: text
 Schema: outpass_v2 | Table: Outpass | Column: studentId | Type: text
 Schema: outpass_v2 | Table: Outpass | Column: studentGender | Type: text
 Schema: outpass_v2 | Table: Outpass | Column: reason | Type: text
 Schema: outpass_v2 | Table: Outpass | Column: fromDay | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outpass | Column: toDay | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outpass | Column: days | Type: integer
 Schema: outpass_v2 | Table: Outpass | Column: requestedTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outpass | Column: isExpired | Type: boolean
 Schema: outpass_v2 | Table: Outpass | Column: isApproved | Type: boolean
 Schema: outpass_v2 | Table: Outpass | Column: isRejected | Type: boolean
 Schema: outpass_v2 | Table: Outpass | Column: issuedBy | Type: text
 Schema: outpass_v2 | Table: Outpass | Column: issuedTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outpass | Column: message | Type: text
 Schema: outpass_v2 | Table: Outpass | Column: rejectedBy | Type: text
 Schema: outpass_v2 | Table: Outpass | Column: rejectedTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outpass | Column: checkedOutTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outpass | Column: checkedInTime | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outpass | Column: currentLevel | Type: text
 Schema: outpass_v2 | Table: Outpass | Column: approvalLogs | Type: jsonb
 Schema: outpass_v2 | Table: _prisma_migrations | Column: id | Type: character varying
 Schema: outpass_v2 | Table: _prisma_migrations | Column: checksum | Type: character varying
 Schema: outpass_v2 | Table: _prisma_migrations | Column: finished_at | Type: timestamp with time zone
 Schema: outpass_v2 | Table: _prisma_migrations | Column: migration_name | Type: character varying
 Schema: outpass_v2 | Table: _prisma_migrations | Column: logs | Type: text
 Schema: outpass_v2 | Table: _prisma_migrations | Column: rolled_back_at | Type: timestamp with time zone
 Schema: outpass_v2 | Table: _prisma_migrations | Column: started_at | Type: timestamp with time zone
 Schema: outpass_v2 | Table: _prisma_migrations | Column: applied_steps_count | Type: integer
 Schema: user_v2 | Table: AdminProfile | Column: id | Type: text
 Schema: user_v2 | Table: AdminProfile | Column: username | Type: text
 Schema: user_v2 | Table: AdminProfile | Column: email | Type: text
 Schema: user_v2 | Table: AdminProfile | Column: role | Type: text
 Schema: user_v2 | Table: AdminProfile | Column: createdAt | Type: timestamp without time zone
 Schema: user_v2 | Table: AdminProfile | Column: updatedAt | Type: timestamp without time zone
 Schema: user_v2 | Table: Banner | Column: id | Type: text
 Schema: user_v2 | Table: Banner | Column: title | Type: text
 Schema: user_v2 | Table: Banner | Column: text | Type: text
 Schema: user_v2 | Table: Banner | Column: imageUrl | Type: text
 Schema: user_v2 | Table: Banner | Column: isVisible | Type: boolean
 Schema: user_v2 | Table: Banner | Column: createdAt | Type: timestamp without time zone
 Schema: user_v2 | Table: Banner | Column: updatedAt | Type: timestamp without time zone
 Schema: user_v2 | Table: FacultyProfile | Column: id | Type: text
